,object1,object2,
0,3.792431273,-269.6703796,269.6703796
1,5.137639732,-570.2037964,570.2037964
2,4.055789307,-551.1533203,551.1533203
3,3.896690016,-489.6962891,489.6962891
4,3.870373392,-366.1681213,366.1681213
5,3.956796193,-525.4389648,525.4389648
6,3.825932521,-307.250824,307.250824
7,3.79305527,-281.1165161,281.1165161
8,3.876617062,-377.2398682,377.2398682
9,3.869402715,-326.5960693,326.5960693
10,4.03931393,-547.0236206,547.0236206
11,3.852898344,-310.9579468,310.9579468
12,3.973271816,-529.6859741,529.6859741
13,4.006362685,-538.6559448,538.6559448
14,4.055789307,-551.1533203,551.1533203
15,4.028376751,-544.4106445,544.4106445
16,3.995425506,-536.008606,536.008606
17,3.98434862,-532.8544312,532.8544312
18,4.022698683,-542.3606567,542.3606567
19,3.858805929,-312.6068726,312.6068726
20,3.97341144,-530.1997681,530.1997681
21,4.00622306,-538.1536865,538.1536865
22,3.989887063,-534.4333496,534.4333496
23,3.864713601,-314.2229309,314.2229309
24,3.895627395,-379.5923157,379.5923157
25,3.890007722,-378.4527588,378.4527588
26,4.022838308,-542.854187,542.854187
27,3.890007722,-378.4527588,378.4527588
28,3.989747438,-533.9233398,533.9233398
29,3.864713601,-314.2229309,314.2229309
30,3.97341144,-530.1997681,530.1997681
31,4.022838308,-542.854187,542.854187
32,3.792431273,-269.6703796,269.6703796
33,3.989747438,-533.9233398,533.9233398
34,3.864713601,-314.2229309,314.2229309
35,3.989747438,-533.9233398,533.9233398
36,4.00622306,-538.1536865,538.1536865
37,3.989887063,-534.4333496,534.4333496
38,3.989747438,-533.9233398,533.9233398
39,3.989747438,-533.9233398,533.9233398
40,3.864713601,-314.2229309,314.2229309
41,3.989887063,-534.4333496,534.4333496
42,3.989747438,-533.9233398,533.9233398
43,3.989747438,-533.9233398,533.9233398
44,3.989887063,-534.4333496,534.4333496
45,3.989747438,-533.9233398,533.9233398
46,3.864713601,-314.2229309,314.2229309
47,3.989747438,-533.9233398,533.9233398
48,3.989747438,-533.9233398,533.9233398
49,3.989747438,-533.9233398,533.9233398
50,3.864713601,-314.2229309,314.2229309
51,3.989747438,-533.9233398,533.9233398
52,3.989747438,-533.9233398,533.9233398
53,4.022838308,-542.854187,542.854187
54,4.022838308,-542.854187,542.854187
55,3.858805929,-312.6068726,312.6068726
56,3.989747438,-533.9233398,533.9233398
57,3.890007722,-378.4527588,378.4527588
58,4.022838308,-542.854187,542.854187
59,3.989747438,-533.9233398,533.9233398
60,3.989747438,-533.9233398,533.9233398
61,3.989747438,-533.9233398,533.9233398
62,3.98434862,-532.8544312,532.8544312
63,3.989747438,-533.9233398,533.9233398
64,3.989747438,-533.9233398,533.9233398
65,3.989887063,-534.4333496,534.4333496
66,4.055789307,-551.1533203,551.1533203
67,3.989747438,-533.9233398,533.9233398
68,4.055789307,-551.1533203,551.1533203
69,3.864713601,-314.2229309,314.2229309
70,4.022838308,-542.854187,542.854187
71,3.989887063,-534.4333496,534.4333496
72,3.989747438,-533.9233398,533.9233398
73,3.973271816,-529.6859741,529.6859741
74,3.995425506,-536.008606,536.008606
75,4.055789307,-551.1533203,551.1533203
