,1,3
1,2.07942401,152.960434
2,2.871942035,360.9505615
3,2.914525182,373.369873
4,3.002808783,404.2714539
5,2.115661577,159.4554596
7,2.216204995,188.1153259
9,2.060962569,144.6577148
10,1.920489295,127.0906448
11,2.37513971,243.7184601
12,2.068347145,151.0602264
13,2.985496882,401.2805481
15,1.931135082,133.5089569
16,3.02808003,417.5737915
17,2.799787452,351.0363159
18,2.931837082,384.1412964
20,2.942913947,385.1139832
21,2.511920695,276.789093
22,2.22728186,207.2428589
26,1.913104719,118.4399261
27,1.918864688,120.0663834
28,2.208820419,170.9529114
32,2.825810486,358.0897827
33,3.45466223,518.375
34,3.084857347,434.9308167
35,3.487782456,530.3880005
38,3.265404222,477.5820618
39,2.692898771,322.7034302
40,3.127009452,437.2668152
42,2.52299756,279.2832947
43,2.659778545,316.181488
44,3.438102364,514.0779419
48,3.355301801,491.9049683
50,3.338741688,489.5004578
51,2.364062845,229.5401917
53,3.073780483,424.8269653
59,3.203895461,459.6242981
62,2.34438532,217.4083099
64,3.157763718,446.3018188
65,2.676338658,318.3983154
68,2.786775935,347.1673584
69,3.173140966,450.7755432
70,3.219272708,464.021637
72,2.538374807,279.9403687
74,3.388422026,501.0858154
79,2.54267519,281.1047058
80,2.946031253,388.4307251
82,2.604183951,290.2683716
84,2.709458884,322.7558594
86,2.491812075,245.756134
92,3.142386471,441.8133545
99,3.017003165,411.4615173
102,2.773764418,340.1986694
103,2.588806704,287.8774414
109,2.573429456,285.5253601
115,3.421542252,509.8599854
131,2.650315694,297.681488
132,2.634938447,295.1734924
135,2.431917028,244.8558807
140,2.9176427,373.6221924
141,2.877856361,372.4813843
152,3.234649956,468.5371094
172,3.280781469,482.7210083
180,2.9886144,403.3055725
216,2.619561199,292.7000732
236,3.188518213,455.9121094
241,3.199595078,456.875061
245,2.759138975,329.8887329
255,3.250026974,476.5918884
259,3.471222343,525.949585
260,3.404982139,505.2853088
313,2.080175797,158.8082581
314,3.138086317,437.8034058
316,2.960225636,392.3143311
345,2.504536119,259.7894287
359,2.331373803,215.2887115
384,2.72601875,327.1616516
447,2.9713025,400.5475464
500,3.371861913,496.3991394
