,1,3
2,4.252582976,676.9863892
3,3.267502467,440.4057312
4,3.281170278,446.2221069
5,2.598830456,201.5144653
7,3.508829817,518.2374878
8,3.826332051,610.340332
9,3.595367817,551.7873535
10,2.642445624,210.6681976
11,3.170342129,401.9611206
12,4.076924718,666.3371582
14,3.020074057,342.4685974
15,3.291159771,449.3696594
16,3.360271206,473.2191162
17,3.89222393,628.2255249
18,3.229485213,422.8791504
19,2.853390231,300.5107422
22,3.608379334,556.666748
23,2.892424589,310.7840271
26,2.89435922,311.4689941
27,3.12676531,372.4909668
28,2.610658932,203.8709412
30,3.220188036,418.6997375
31,3.014393328,341.6669922
32,2.901832293,313.5493774
35,2.603676594,202.465271
36,4.097693777,670.8959961
37,3.527522063,523.930481
38,4.070001664,664.8083496
39,3.235023656,427.9508667
42,4.034341783,653.8403931
43,3.257177346,432.1094666
46,2.750236902,258.9665833
48,3.962694554,641.3989258
51,2.940866845,324.1733398
53,2.836774902,296.4440613
54,2.925389828,319.4178467
56,3.135994529,380.3935547
57,3.543321942,531.6972656
58,2.985063851,340.9883118
60,2.888820776,310.0821838
62,3.556333459,539.1310425
63,3.105184827,370.9360046
65,3.327851865,461.7050171
66,3.706136475,581.4672852
70,2.627907211,207.4037018
72,2.873874628,303.6660461
73,3.621390851,561.4816895
76,2.862797742,303.2289124
77,3.782289863,598.2081299
78,2.879413072,307.3311768
79,3.520252925,522.3702393
82,2.685368456,245.1663971
87,3.739082563,592.40271
88,2.964424186,330.1551819
91,3.534852851,527.8667603
93,3.027404845,345.3366089
94,3.54053358,528.7109985
97,3.322253961,459.4841309
100,2.764775315,262.7954102
102,2.662819677,214.9659576
105,3.409484267,489.0641785
107,2.639735686,209.9211731
108,3.052055786,356.9486694
109,2.912643648,316.0414429
110,3.726071046,587.8411865
111,4.062730548,662.2091064
117,3.699213421,579.6817017
122,2.875809259,306.628418
124,3.840178056,613.3873291
127,2.763248225,262.1437683
132,3.355246781,464.870636
134,3.521841334,523.0728149
137,3.217656561,418.2659912
140,3.241313865,429.4515381
141,2.729675919,251.9039307
144,3.182170781,404.3621216
145,2.9455982,328.4622498
147,3.525872104,523.4002075
154,3.515060566,520.1416016
156,4.11188816,674.312439
157,3.027646787,350.9696045
161,3.090990444,367.4571838
164,2.6542741,213.305069
167,2.735214362,256.2388
172,3.061573995,359.0191956
177,2.965331026,336.3669434
178,2.93145914,321.4042053
185,3.905235447,632.4561157
186,2.772955521,264.3383789
187,3.712224938,584.2908325
189,3.550244996,533.7148438
193,2.847851788,299.1552124
196,3.372099858,478.0661316
197,3.502049242,515.2907104
199,2.780840553,267.5275574
200,3.141577464,380.8821716
202,3.582356494,546.8460693
203,2.756340191,260.3792419
204,3.57626803,543.8369751
205,3.263110878,433.3552246
206,3.072986462,365.1855774
210,4.035038331,655.9912109
211,3.205828085,407.1289063
215,2.944470657,325.0027161
217,3.316023213,456.7518005
230,3.6576752,568.7761841
243,3.514510739,519.1040649
249,2.927855328,320.6447754
251,3.800003073,600.1390381
256,3.453039944,501.0824585
261,3.495818494,513.3706665
264,3.683698234,578.1693726
267,2.881082365,307.4985657
268,2.918447623,317.7796326
269,3.450003174,495.3301697
270,4.077621267,668.4509888
271,3.663763663,571.6622925
272,3.865366408,623.440918
276,3.986925119,645.8635864
277,3.719147992,586.0687256
290,2.938932214,323.4971008
296,3.650752146,566.9165039
297,2.637599486,209.5598297
298,3.884466389,627.6807861
299,3.08787316,366.8681335
300,3.831585923,611.4029541
305,3.808312897,608.5256958
307,2.842313345,297.8036499
308,3.765390086,596.5471802
316,2.673539804,242.2372894
317,3.628313905,563.3640747
327,3.079217211,366.5615234
329,2.61878832,205.5588226
330,2.622487584,206.3041992
334,3.304194561,452.0050964
337,3.397655615,483.6473083
338,3.837674192,611.7703857
339,3.528072083,524.9631958
341,3.464868596,509.940155
345,3.38392851,482.8473511
346,3.157761712,396.5334778
347,2.794117397,269.9652405
349,3.669852126,573.7770996
355,3.844597246,613.4284668
364,3.8515203,617.4171143
372,3.279331119,441.4451294
374,2.973986965,338.3557739
375,2.720854236,249.5997925
377,3.093411593,369.9830627
380,3.616136979,557.5350342
388,3.223195004,420.9727478
404,2.575173152,196.8927917
412,2.79774035,286.242157
417,3.877543335,626.0693359
426,2.829301828,295.0602417
436,2.742071522,257.0681152
437,2.651564338,212.5345612
439,3.805562889,601.5892334
447,3.602290871,553.7235107
450,2.790798155,269.3161621
451,2.823763384,293.0488892
452,4.25950603,678.7869263
453,2.639162373,209.7953949
467,3.858443354,619.0570679
469,2.776259742,265.362793
478,3.232016688,423.2871704
481,3.421312919,494.3930359
496,3.642994501,566.0838623
500,2.914843811,317.0777893
