,object1,object2,,,,πÈ“ªæÿ’Û,,,,,,,,,,,,,,,,,,,,,,
0,2.07942401,-152.960434,152.960434,3.487782456,530.3880005,0.105621161,0.083798202,329.036268,328.7740888,,0.000321105,0.000254946,-0.002582883,-0.002109539,8.873600026,8.868400198,,-7.873600026,-7.868400198,,0.052828025,0.041885261,0.500165158,0.64041469,0.067417908,0.095245554,,0.999533081
1,2.871942035,-360.9505615,360.9505615,1.913104719,118.4399261,0.608910188,0.588692242,,,,0.001854018,0.00179378,-0.011662514,-0.01134284,,,,0.500165158,0.499834842,,0.30455566,0.294248894,4.99835E-09,0.284015111,0.42348147,0.598563274,,
2,2.914525182,-373.369873,373.369873,,,0.63595264,0.618840001,,,,0.001936517,0.001885815,-0.012097156,-0.011830461,,,,,,,0.318081352,0.309317794,,0.263774958,0.44368146,0.627150237,,
3,3.002808783,-404.2714539,404.2714539,,,0.692017191,0.693853292,,,,0.002107596,0.002114889,-0.012987446,-0.013025079,,,,,,,0.346122887,0.346812051,,0.217361902,0.489979229,0.692705694,,
4,2.115661577,-159.4554596,159.4554596,,,0.128633849,0.099564814,,,,0.000391094,0.000302928,-0.003068745,-0.002454329,,,,,,,0.064338169,0.049765963,,0.626741253,0.081339105,0.114872703,,
5,3.002808783,-404.2714539,404.2714539,,,0.692017191,0.693853292,,,,0.002107596,0.002114889,-0.012987446,-0.013025079,,,,,,,0.346122887,0.346812051,,0.217361902,0.489979229,0.692705694,,
6,2.216204995,-188.1153259,188.1153259,,,0.192484004,0.169136365,,,,0.000585336,0.00051471,-0.004356844,-0.003897338,,,,,,,0.096273792,0.084540248,,0.579544908,0.128123748,0.181050478,,
7,3.002808783,-404.2714539,404.2714539,,,0.692017191,0.693853292,,,,0.002107596,0.002114889,-0.012987446,-0.013025079,,,,,,,0.346122887,0.346812051,,0.217361902,0.489979229,0.692705694,,
8,2.060962569,-144.6577148,144.6577148,,,0.093897212,0.063643431,,,,0.000285452,0.000193615,-0.002329697,-0.001655342,,,,,,,0.046964114,0.031811204,,0.651725872,0.056723716,0.080067399,,
9,1.920489295,-127.0906448,127.0906448,,,0.004689579,0.020999537,,,,1.42527E-05,6.38763E-05,-0.000159039,-0.000616953,,,,,,,0.002345564,0.0104963,,0.698283566,0.010755178,0.015168675,,
10,2.37513971,-243.7184601,243.7184601,,,0.293415586,0.30411244,,,,0.000892538,0.000925845,-0.006266905,-0.006466848,,,,,,,0.146756253,0.152005993,,0.496097428,0.211289415,0.298690055,,
11,2.068347145,-151.0602264,151.0602264,,,0.098586792,0.079185466,,,,0.000299713,0.000240909,-0.002431475,-0.002007033,,,,,,,0.049309678,0.039579655,,0.644522823,0.063229681,0.089338689,,
12,2.985496882,-401.2805481,401.2805481,,,0.681023258,0.686592897,,,,0.002074044,0.002092713,-0.012813973,-0.012910561,,,,,,,0.340624106,0.343183053,,0.223822985,0.483528057,0.683575803,,
13,1.920489295,-127.0906448,127.0906448,,,0.004689579,0.020999537,,,,1.42527E-05,6.38763E-05,-0.000159039,-0.000616953,,,,,,,0.002345564,0.0104963,,0.698283566,0.010755178,0.015168675,,
