,object1,object2,
1,4.252582976,-676.9863892,676.9863892
2,3.267502467,-440.4057312,440.4057312
3,3.281170278,-446.2221069,446.2221069
4,2.598830456,-201.5144653,201.5144653
5,2.598830456,-201.5144653,201.5144653
6,3.508829817,-518.2374878,518.2374878
7,3.826332051,-610.340332,610.340332
8,3.595367817,-551.7873535,551.7873535
9,2.642445624,-210.6681976,210.6681976
10,3.170342129,-401.9611206,401.9611206
11,4.076924718,-666.3371582,666.3371582
12,3.267502467,-440.4057312,440.4057312
13,3.020074057,-342.4685974,342.4685974
14,3.291159771,-449.3696594,449.3696594
15,3.360271206,-473.2191162,473.2191162
16,3.89222393,-628.2255249,628.2255249
17,3.229485213,-422.8791504,422.8791504
18,2.853390231,-300.5107422,300.5107422
19,3.595367817,-551.7873535,551.7873535
20,3.360271206,-473.2191162,473.2191162
21,3.608379334,-556.666748,556.666748
22,2.892424589,-310.7840271,310.7840271
23,3.291159771,-449.3696594,449.3696594
24,3.229485213,-422.8791504,422.8791504
25,2.89435922,-311.4689941,311.4689941
26,3.12676531,-372.4909668,372.4909668
27,2.610658932,-203.8709412,203.8709412
28,2.598830456,-201.5144653,201.5144653
29,3.220188036,-418.6997375,418.6997375
30,3.014393328,-341.6669922,341.6669922
31,2.901832293,-313.5493774,313.5493774
32,2.598830456,-201.5144653,201.5144653
33,4.076924718,-666.3371582,666.3371582
34,2.603676594,-202.465271,202.465271
35,4.097693777,-670.8959961,670.8959961
36,3.527522063,-523.930481,523.930481
37,4.070001664,-664.8083496,664.8083496
38,3.235023656,-427.9508667,427.9508667
39,3.595367817,-551.7873535,551.7873535
40,3.229485213,-422.8791504,422.8791504
41,4.034341783,-653.8403931,653.8403931
42,3.257177346,-432.1094666,432.1094666
43,3.220188036,-418.6997375,418.6997375
44,3.595367817,-551.7873535,551.7873535
45,2.750236902,-258.9665833,258.9665833
46,2.610658932,-203.8709412,203.8709412
47,3.962694554,-641.3989258,641.3989258
48,3.508829817,-518.2374878,518.2374878
49,2.598830456,-201.5144653,201.5144653
50,2.940866845,-324.1733398,324.1733398
51,2.892424589,-310.7840271,310.7840271
52,2.836774902,-296.4440613,296.4440613
53,2.925389828,-319.4178467,319.4178467
54,2.892424589,-310.7840271,310.7840271
55,3.135994529,-380.3935547,380.3935547
56,3.543321942,-531.6972656,531.6972656
57,2.985063851,-340.9883118,340.9883118
58,3.229485213,-422.8791504,422.8791504
59,2.888820776,-310.0821838,310.0821838
60,2.610658932,-203.8709412,203.8709412
61,3.556333459,-539.1310425,539.1310425
62,3.105184827,-370.9360046,370.9360046
63,2.892424589,-310.7840271,310.7840271
64,3.327851865,-461.7050171,461.7050171
65,3.706136475,-581.4672852,581.4672852
66,3.595367817,-551.7873535,551.7873535
67,2.901832293,-313.5493774,313.5493774
68,2.598830456,-201.5144653,201.5144653
69,2.627907211,-207.4037018,207.4037018
70,3.229485213,-422.8791504,422.8791504
71,2.873874628,-303.6660461,303.6660461
72,3.621390851,-561.4816895,561.4816895
73,3.229485213,-422.8791504,422.8791504
74,2.89435922,-311.4689941,311.4689941
75,2.862797742,-303.2289124,303.2289124
76,3.782289863,-598.2081299,598.2081299
77,2.879413072,-307.3311768,307.3311768
78,3.520252925,-522.3702393,522.3702393
79,3.020074057,-342.4685974,342.4685974
80,3.608379334,-556.666748,556.666748
81,2.685368456,-245.1663971,245.1663971
82,3.105184827,-370.9360046,370.9360046
83,2.603676594,-202.465271,202.465271
84,2.985063851,-340.9883118,340.9883118
85,3.229485213,-422.8791504,422.8791504
86,3.739082563,-592.40271,592.40271
87,2.964424186,-330.1551819,330.1551819
88,3.220188036,-418.6997375,418.6997375
89,2.610658932,-203.8709412,203.8709412
90,3.534852851,-527.8667603,527.8667603
91,2.985063851,-340.9883118,340.9883118
92,3.027404845,-345.3366089,345.3366089
93,3.54053358,-528.7109985,528.7109985
94,2.603676594,-202.465271,202.465271
95,2.985063851,-340.9883118,340.9883118
96,3.322253961,-459.4841309,459.4841309
97,3.027404845,-345.3366089,345.3366089
98,3.135994529,-380.3935547,380.3935547
99,2.764775315,-262.7954102,262.7954102
100,3.360271206,-473.2191162,473.2191162
101,2.662819677,-214.9659576,214.9659576
102,3.291159771,-449.3696594,449.3696594
103,3.508829817,-518.2374878,518.2374878
104,3.409484267,-489.0641785,489.0641785
105,3.608379334,-556.666748,556.666748
106,2.639735686,-209.9211731,209.9211731
107,3.052055786,-356.9486694,356.9486694
108,2.912643648,-316.0414429,316.0414429
109,3.726071046,-587.8411865,587.8411865
110,4.062730548,-662.2091064,662.2091064
111,3.020074057,-342.4685974,342.4685974
112,3.267502467,-440.4057312,440.4057312
113,2.901832293,-313.5493774,313.5493774
114,3.543321942,-531.6972656,531.6972656
115,3.322253961,-459.4841309,459.4841309
116,3.699213421,-579.6817017,579.6817017
117,2.642445624,-210.6681976,210.6681976
118,3.508829817,-518.2374878,518.2374878
119,2.853390231,-300.5107422,300.5107422
120,4.034341783,-653.8403931,653.8403931
121,2.875809259,-306.628418,306.628418
122,3.534852851,-527.8667603,527.8667603
123,3.840178056,-613.3873291,613.3873291
124,3.534852851,-527.8667603,527.8667603
125,3.595367817,-551.7873535,551.7873535
126,2.763248225,-262.1437683,262.1437683
127,3.027404845,-345.3366089,345.3366089
128,3.508829817,-518.2374878,518.2374878
129,3.621390851,-561.4816895,561.4816895
130,2.964424186,-330.1551819,330.1551819
131,3.355246781,-464.870636,464.870636
132,2.598830456,-201.5144653,201.5144653
133,3.521841334,-523.0728149,523.0728149
134,3.595367817,-551.7873535,551.7873535
135,3.595367817,-551.7873535,551.7873535
136,3.217656561,-418.2659912,418.2659912
137,4.062730548,-662.2091064,662.2091064
138,3.027404845,-345.3366089,345.3366089
139,3.241313865,-429.4515381,429.4515381
140,2.729675919,-251.9039307,251.9039307
141,3.014393328,-341.6669922,341.6669922
142,3.229485213,-422.8791504,422.8791504
143,3.182170781,-404.3621216,404.3621216
144,2.9455982,-328.4622498,328.4622498
145,4.070001664,-664.8083496,664.8083496
146,3.525872104,-523.4002075,523.4002075
147,3.534852851,-527.8667603,527.8667603
148,3.782289863,-598.2081299,598.2081299
149,3.267502467,-440.4057312,440.4057312
150,3.229485213,-422.8791504,422.8791504
151,3.12676531,-372.4909668,372.4909668
152,2.627907211,-207.4037018,207.4037018
153,3.515060566,-520.1416016,520.1416016
154,2.888820776,-310.0821838,310.0821838
155,4.11188816,-674.312439,674.312439
156,3.027646787,-350.9696045,350.9696045
157,3.229485213,-422.8791504,422.8791504
158,3.54053358,-528.7109985,528.7109985
159,3.706136475,-581.4672852,581.4672852
160,3.090990444,-367.4571838,367.4571838
