,object1,object2,,,,,,,,,,,,,,,,,,,,
0,5.159607228,-574.2876587,574.2876587,,,7,22,37,8,28,50,81,46,39,9,15,32,70,76,152,364,500
1,3.749161458,-274.5873413,274.5873413,,,,,,,,,,,,,,,,,,,
2,4.105216174,-563.4609985,563.4609985,,,,,,,,,,,,,,,,,,,
3,3.896690016,-489.6962891,489.6962891,,,,,,,,,,,,,,,,,,,
4,3.819586061,-370.1763306,370.1763306,,,,,,,,,,,,,,,,,,,
5,3.907369572,-512.5360718,512.5360718,,,,,,,,,,,,,,,,,,,
6,3.800634308,-302.0858459,302.0858459,,,,,,,,,,,,,,,,,,,
7,4.105076549,-562.9637451,562.9637451,,,,,,,,,,,,,,,,,,,
8,4.055789307,-551.1533203,551.1533203,,,,,,,,,,,,,,,,,,,
9,3.934921752,-520.0969238,520.0969238,,,,,,,,,,,,,,,,,,,
10,3.768298527,-277.1759033,277.1759033,,,,,,,,,,,,,,,,,,,
11,3.863226402,-376.0386963,376.0386963,,,,,,,,,,,,,,,,,,,
12,5.115672235,-566.0910645,566.0910645,,,,,,,,,,,,,,,,,,,
13,3.79305527,-281.1165161,281.1165161,,,,,,,,,,,,,,,,,,,
14,5.137639732,-570.2037964,570.2037964,,,,,,,,,,,,,,,,,,,
15,5.137639732,-570.2037964,570.2037964,,,,,,,,,,,,,,,,,,,
16,5.159607228,-574.2876587,574.2876587,,,,,,,,,,,,,,,,,,,
17,3.945859014,-522.7715454,522.7715454,,,,,,,,,,,,,,,,,,,
18,3.887856409,-379.5293274,379.5293274,,,,,,,,,,,,,,,,,,,
19,3.806541981,-303.7233276,303.7233276,,,,,,,,,,,,,,,,,,,
20,4.028376751,-544.4108887,544.4108887,,,,,,,,,,,,,,,,,,,
21,4.033915194,-545.9567261,545.9567261,,,,,,,,,,,,,,,,,,,
22,3.882236736,-378.3890991,378.3890991,,,,,,,,,,,,,,,,,,,
23,3.896690016,-489.6962891,489.6962891,,,,,,,,,,,,,,,,,,,
24,4.050250864,-549.6158447,549.6158447,,,,,,,,,,,,,,,,,,,
25,3.962194929,-526.5036011,526.5036011,,,,,,,,,,,,,,,,,,,
26,4.017299864,-541.2936401,541.2936401,,,,,,,,,,,,,,,,,,,
27,3.956935818,-525.9599609,525.9599609,,,,,,,,,,,,,,,,,,,
28,3.806541981,-303.7233276,303.7233276,,,,,,,,,,,,,,,,,,,
29,3.956796193,-525.4389648,525.4389648,,,,,,,,,,,,,,,,,,,
30,3.973271816,-529.6860352,529.6860352,,,,,,,,,,,,,,,,,,,
31,4.011901128,-540.2207642,540.2207642,,,,,,,,,,,,,,,,,,,
32,3.967733372,-528.09729,528.09729,,,,,,,,,,,,,,,,,,,
33,4.044852373,-548.5628052,548.5628052,,,,,,,,,,,,,,,,,,,
34,3.798674944,-282.4074402,282.4074402,,,,,,,,,,,,,,,,,,,
35,3.870997388,-376.1063538,376.1063538,,,,,,,,,,,,,,,,,,,
36,3.876617062,-377.2398682,377.2398682,,,,,,,,,,,,,,,,,,,
37,3.95125775,-523.8408203,523.8408203,,,,,,,,,,,,,,,,,,,
38,3.967733372,-528.09729,528.09729,,,,,,,,,,,,,,,,,,,
39,4.03931393,-547.0236206,547.0236206,,,,,,,,,,,,,,,,,,,
40,4.022838308,-542.854187,542.854187,,,,,,,,,,,,,,,,,,,
41,3.98434862,-532.8544312,532.8544312,,,,,,,,,,,,,,,,,,,
42,3.97341144,-530.1997681,530.1997681,,,,,,,,,,,,,,,,,,,
43,4.006362685,-538.6559448,538.6559448,,,,,,,,,,,,,,,,,,,
44,4.044852373,-548.5628052,548.5628052,,,,,,,,,,,,,,,,,,,
45,3.876617062,-377.2398682,377.2398682,,,,,,,,,,,,,,,,,,,
46,3.978949884,-531.7819824,531.7819824,,,,,,,,,,,,,,,,,,,
47,3.995425506,-536.008606,536.008606,,,,,,,,,,,,,,,,,,,
48,4.000963949,-537.5762939,537.5762939,,,,,,,,,,,,,,,,,,,
49,3.989887063,-534.4333496,534.4333496,,,,,,,,,,,,,,,,,,,
50,3.978810259,-531.2697144,531.2697144,,,,,,,,,,,,,,,,,,,
51,4.055649682,-550.6638184,550.6638184,,,,,,,,,,,,,,,,,,,
52,4.011761504,-539.7266235,539.7266235,,,,,,,,,,,,,,,,,,,
53,3.95125775,-523.8408203,523.8408203,,,,,,,,,,,,,,,,,,,
54,3.989747438,-533.9233398,533.9233398,,,,,,,,,,,,,,,,,,,
55,4.022698683,-542.3606567,542.3606567,,,,,,,,,,,,,,,,,,,
56,4.03931393,-547.0236206,547.0236206,,,,,,,,,,,,,,,,,,,
57,4.000963949,-537.5762939,537.5762939,,,,,,,,,,,,,,,,,,,
58,4.000684617,-536.5749512,536.5749512,,,,,,,,,,,,,,,,,,,
59,4.01716024,-540.7921753,540.7921753,,,,,,,,,,,,,,,,,,,
60,3.995146174,-534.9898071,534.9898071,,,,,,,,,,,,,,,,,,,
61,3.984208995,-532.3345337,532.3345337,,,,,,,,,,,,,,,,,,,
62,4.00622306,-538.1536865,538.1536865,,,,,,,,,,,,,,,,,,,
63,3.995285881,-535.5059204,535.5059204,,,,,,,,,,,,,,,,,,,
64,3.98434862,-532.8544312,532.8544312,,,,,,,,,,,,,,,,,,,
65,3.97341144,-530.1997681,530.1997681,,,,,,,,,,,,,,,,,,,
66,3.978949884,-531.7819824,531.7819824,,,,,,,,,,,,,,,,,,,
67,3.989887063,-534.4333496,534.4333496,,,,,,,,,,,,,,,,,,,
68,3.995425506,-536.008606,536.008606,,,,,,,,,,,,,,,,,,,
69,4.006362685,-538.6559448,538.6559448,,,,,,,,,,,,,,,,,,,
70,4.022838308,-542.854187,542.854187,,,,,,,,,,,,,,,,,,,
71,4.055789307,-551.1533203,551.1533203,,,,,,,,,,,,,,,,,,,
72,3.798674944,-282.4074402,282.4074402,,,,,,,,,,,,,,,,,,,
73,3.895627395,-379.5923157,379.5923157,,,,,,,,,,,,,,,,,,,
74,3.989747438,-533.9233398,533.9233398,,,,,,,,,,,,,,,,,,,
75,4.022698683,-542.3606567,542.3606567,,,,,,,,,,,,,,,,,,,
76,4.011761504,-539.7266235,539.7266235,,,,,,,,,,,,,,,,,,,
77,4.00622306,-538.1536865,538.1536865,,,,,,,,,,,,,,,,,,,
78,3.806541981,-303.7233276,303.7233276,,,,,,,,,,,,,,,,,,,
79,3.95125775,-523.8408203,523.8408203,,,,,,,,,,,,,,,,,,,
80,3.79305527,-281.1165161,281.1165161,,,,,,,,,,,,,,,,,,,
81,5.137639732,-570.2037964,570.2037964,,,,,,,,,,,,,,,,,,,
82,5.137639732,-570.2037964,570.2037964,,,,,,,,,,,,,,,,,,,
83,3.876617062,-377.2398682,377.2398682,,,,,,,,,,,,,,,,,,,
84,4.033915194,-545.9567261,545.9567261,,,,,,,,,,,,,,,,,,,
85,3.967733372,-528.09729,528.09729,,,,,,,,,,,,,,,,,,,
86,3.956796193,-525.4389648,525.4389648,,,,,,,,,,,,,,,,,,,
87,4.017299864,-541.2936401,541.2936401,,,,,,,,,,,,,,,,,,,
88,4.022838308,-542.854187,542.854187,,,,,,,,,,,,,,,,,,,
89,4.03931393,-547.0236206,547.0236206,,,,,,,,,,,,,,,,,,,
90,3.967733372,-528.09729,528.09729,,,,,,,,,,,,,,,,,,,
91,3.98434862,-532.8544312,532.8544312,,,,,,,,,,,,,,,,,,,
92,3.97341144,-530.1997681,530.1997681,,,,,,,,,,,,,,,,,,,
93,3.989887063,-534.4333496,534.4333496,,,,,,,,,,,,,,,,,,,
94,4.017299864,-541.2936401,541.2936401,,,,,,,,,,,,,,,,,,,
95,3.995425506,-536.008606,536.008606,,,,,,,,,,,,,,,,,,,
96,3.876617062,-377.2398682,377.2398682,,,,,,,,,,,,,,,,,,,
97,3.995285881,-535.5059204,535.5059204,,,,,,,,,,,,,,,,,,,
98,3.978810259,-531.2697144,531.2697144,,,,,,,,,,,,,,,,,,,
99,4.055649682,-550.6638184,550.6638184,,,,,,,,,,,,,,,,,,,
100,4.011761504,-539.7266235,539.7266235,,,,,,,,,,,,,,,,,,,
101,3.989747438,-533.9233398,533.9233398,,,,,,,,,,,,,,,,,,,
102,4.022698683,-542.3606567,542.3606567,,,,,,,,,,,,,,,,,,,
103,4.03931393,-547.0236206,547.0236206,,,,,,,,,,,,,,,,,,,
104,3.984208995,-532.3345337,532.3345337,,,,,,,,,,,,,,,,,,,
105,3.98434862,-532.8544312,532.8544312,,,,,,,,,,,,,,,,,,,
106,3.97341144,-530.1997681,530.1997681,,,,,,,,,,,,,,,,,,,
107,3.989887063,-534.4333496,534.4333496,,,,,,,,,,,,,,,,,,,
108,4.006362685,-538.6559448,538.6559448,,,,,,,,,,,,,,,,,,,
109,4.022838308,-542.854187,542.854187,,,,,,,,,,,,,,,,,,,
110,4.055789307,-551.1533203,551.1533203,,,,,,,,,,,,,,,,,,,
111,4.00622306,-538.1536865,538.1536865,,,,,,,,,,,,,,,,,,,
112,3.989747438,-533.9233398,533.9233398,,,,,,,,,,,,,,,,,,,
113,4.022698683,-542.3606567,542.3606567,,,,,,,,,,,,,,,,,,,
114,4.055789307,-551.1533203,551.1533203,,,,,,,,,,,,,,,,,,,
115,3.79305527,-281.1165161,281.1165161,,,,,,,,,,,,,,,,,,,
116,4.03931393,-547.0236206,547.0236206,,,,,,,,,,,,,,,,,,,
117,4.055649682,-550.6638184,550.6638184,,,,,,,,,,,,,,,,,,,
