,object1,object2,1
0,2.07942401,-152.960434,152.960434
1,2.871942035,-360.9505615,360.9505615
2,2.914525182,-373.369873,373.369873
3,3.002808783,-404.2714539,404.2714539
4,2.115661577,-159.4554596,159.4554596
5,3.002808783,-404.2714539,404.2714539
6,2.216204995,-188.1153259,188.1153259
7,3.002808783,-404.2714539,404.2714539
8,2.060962569,-144.6577148,144.6577148
9,1.920489295,-127.0906448,127.0906448
10,2.37513971,-243.7184601,243.7184601
11,2.068347145,-151.0602264,151.0602264
12,2.985496882,-401.2805481,401.2805481
13,1.920489295,-127.0906448,127.0906448
14,1.931135082,-133.5089569,133.5089569
15,3.02808003,-417.5737915,417.5737915
16,2.799787452,-351.0363159,351.0363159
17,2.931837082,-384.1412964,384.1412964
18,3.002808783,-404.2714539,404.2714539
19,2.942913947,-385.1139832,385.1139832
20,2.511920695,-276.789093,276.789093
21,2.22728186,-207.2428589,207.2428589
22,3.002808783,-404.2714539,404.2714539
23,2.799787452,-351.0363159,351.0363159
24,3.002808783,-404.2714539,404.2714539
25,1.913104719,-118.4399261,118.4399261
26,1.918864688,-120.0663834,120.0663834
27,2.208820419,-170.9529114,170.9529114
28,3.002808783,-404.2714539,404.2714539
29,2.115661577,-159.4554596,159.4554596
30,3.002808783,-404.2714539,404.2714539
31,2.825810486,-358.0897827,358.0897827
32,3.45466223,-518.375,518.375
33,3.084857347,-434.9308167,434.9308167
34,3.487782456,-530.3880005,530.3880005
35,2.799787452,-351.0363159,351.0363159
36,3.002808783,-404.2714539,404.2714539
37,3.265404222,-477.5820618,477.5820618
38,2.692898771,-322.7034302,322.7034302
39,3.127009452,-437.2668152,437.2668152
40,2.799787452,-351.0363159,351.0363159
41,2.52299756,-279.2832947,279.2832947
42,2.659778545,-316.181488,316.181488
43,3.438102364,-514.0779419,514.0779419
44,3.265404222,-477.5820618,477.5820618
45,2.659778545,-316.181488,316.181488
46,3.02808003,-417.5737915,417.5737915
47,3.355301801,-491.9049683,491.9049683
48,3.002808783,-404.2714539,404.2714539
49,3.338741688,-489.5004578,489.5004578
50,2.364062845,-229.5401917,229.5401917
51,2.931837082,-384.1412964,384.1412964
52,3.073780483,-424.8269653,424.8269653
53,3.438102364,-514.0779419,514.0779419
54,2.511920695,-276.789093,276.789093
55,2.931837082,-384.1412964,384.1412964
56,3.127009452,-437.2668152,437.2668152
57,2.799787452,-351.0363159,351.0363159
58,3.203895461,-459.6242981,459.6242981
59,2.511920695,-276.789093,276.789093
60,3.002808783,-404.2714539,404.2714539
61,2.34438532,-217.4083099,217.4083099
62,3.002808783,-404.2714539,404.2714539
63,3.157763718,-446.3018188,446.3018188
64,2.676338658,-318.3983154,318.3983154
65,3.203895461,-459.6242981,459.6242981
66,3.002808783,-404.2714539,404.2714539
67,2.786775935,-347.1673584,347.1673584
68,3.173140966,-450.7755432,450.7755432
69,3.219272708,-464.021637,464.021637
70,2.825810486,-358.0897827,358.0897827
71,2.538374807,-279.9403687,279.9403687
72,3.127009452,-437.2668152,437.2668152
73,3.388422026,-501.0858154,501.0858154
74,3.388422026,-501.0858154,501.0858154
75,3.002808783,-404.2714539,404.2714539
76,3.203895461,-459.6242981,459.6242981
77,3.02808003,-417.5737915,417.5737915
78,2.54267519,-281.1047058,281.1047058
79,2.946031253,-388.4307251,388.4307251
80,2.511920695,-276.789093,276.789093
81,2.604183951,-290.2683716,290.2683716
82,3.45466223,-518.375,518.375
83,2.709458884,-322.7558594,322.7558594
84,3.173140966,-450.7755432,450.7755432
85,2.491812075,-245.756134,245.756134
86,3.127009452,-437.2668152,437.2668152
87,2.692898771,-322.7034302,322.7034302
88,3.002808783,-404.2714539,404.2714539
89,3.002808783,-404.2714539,404.2714539
90,3.355301801,-491.9049683,491.9049683
91,3.142386471,-441.8133545,441.8133545
92,2.216204995,-188.1153259,188.1153259
93,3.265404222,-477.5820618,477.5820618
94,3.203895461,-459.6242981,459.6242981
95,2.34438532,-217.4083099,217.4083099
96,3.355301801,-491.9049683,491.9049683
97,2.659778545,-316.181488,316.181488
98,3.017003165,-411.4615173,411.4615173
99,3.487782456,-530.3880005,530.3880005
100,3.265404222,-477.5820618,477.5820618
101,2.773764418,-340.1986694,340.1986694
102,2.588806704,-287.8774414,287.8774414
103,3.45466223,-518.375,518.375
104,3.203895461,-459.6242981,459.6242981
105,3.438102364,-514.0779419,514.0779419
106,2.511920695,-276.789093,276.789093
107,2.692898771,-322.7034302,322.7034302
108,2.573429456,-285.5253601,285.5253601
109,3.173140966,-450.7755432,450.7755432
110,2.511920695,-276.789093,276.789093
111,3.487782456,-530.3880005,530.3880005
112,2.511920695,-276.789093,276.789093
113,3.173140966,-450.7755432,450.7755432
114,3.421542252,-509.8599854,509.8599854
115,2.799787452,-351.0363159,351.0363159
116,3.173140966,-450.7755432,450.7755432
117,2.511920695,-276.789093,276.789093
118,2.511920695,-276.789093,276.789093
119,2.54267519,-281.1047058,281.1047058
120,3.219272708,-464.021637,464.021637
121,2.491812075,-245.756134,245.756134
122,3.45466223,-518.375,518.375
123,2.825810486,-358.0897827,358.0897827
124,3.002808783,-404.2714539,404.2714539
125,3.173140966,-450.7755432,450.7755432
126,3.203895461,-459.6242981,459.6242981
127,3.438102364,-514.0779419,514.0779419
128,2.511920695,-276.789093,276.789093
129,3.127009452,-437.2668152,437.2668152
130,2.650315694,-297.681488,297.681488
131,2.634938447,-295.1734924,295.1734924
