,object1,object2,
0,2.617900683,-215.968277,215.968277
1,2.785000706,-302.3297729,302.3297729
2,3.024531497,-434.2544556,434.2544556
3,2.731218458,-272.4880066,272.4880066
4,3.394767546,-581.3283691,581.3283691
5,2.84863326,-332.7548523,332.7548523
6,2.702141717,-248.0499268,248.0499268
7,2.785000706,-302.3297729,302.3297729
8,2.617900683,-215.968277,215.968277
9,2.796829358,-305.9793396,305.9793396
10,2.636592836,-218.7425385,218.7425385
11,3.778189299,-723.7163086,723.7163086
12,2.9606973,-397.9385376,397.9385376
13,2.922212769,-385.0452576,385.0452576
14,2.84863326,-332.7548523,332.7548523
15,2.841710206,-331.0363159,331.0363159
16,2.841710206,-331.0363159,331.0363159
17,2.84863326,-332.7548523,332.7548523
18,2.84863326,-332.7548523,332.7548523
19,3.037543014,-439.324646,439.324646
20,3.037543014,-439.324646,439.324646
21,2.84863326,-332.7548523,332.7548523
22,3.037543014,-439.324646,439.324646
23,2.785000706,-302.3297729,302.3297729
24,2.655285082,-221.7084351,221.7084351
25,2.785000706,-302.3297729,302.3297729
26,3.329117462,-548.7907715,548.7907715
27,2.785000706,-302.3297729,302.3297729
28,3.9268392,-762.6722412,762.6722412
29,2.903520616,-357.9526367,357.9526367
30,2.702141717,-248.0499268,248.0499268
31,3.247918477,-507.2046204,507.2046204
32,3.024531497,-434.2544556,434.2544556
33,2.84863326,-332.7548523,332.7548523
34,3.649082964,-708.8427734,708.8427734
35,3.004597029,-427.3717957,427.3717957
36,3.440899077,-616.7443237,616.7443237
37,3.932927664,-783.3721924,783.3721924
38,3.182442531,-493.2375183,493.2375183
39,3.571014055,-675.7629395,675.7629395
40,2.636592836,-218.7425385,218.7425385
41,2.690313065,-245.0648041,245.0648041
42,3.265661279,-535.963562,535.963562
43,3.430253326,-598.4420776,598.4420776
44,2.922212769,-385.0452576,385.0452576
45,3.656006018,-710.9257813,710.9257813
46,3.086004393,-454.6054993,454.6054993
47,2.841710206,-331.0363159,331.0363159
48,2.84863326,-332.7548523,332.7548523
49,2.836804608,-328.4492798,328.4492798
50,2.880259173,-350.5601196,350.5601196
51,3.590114139,-684.8059692,684.8059692
52,2.785000706,-302.3297729,302.3297729
53,3.037543014,-439.324646,439.324646
54,3.037543014,-439.324646,439.324646
55,4.167620763,-827.1420898,827.1420898
56,2.997673975,-425.4329834,425.4329834
57,3.329117462,-548.7907715,548.7907715
58,3.362830168,-580.7921143,580.7921143
59,3.597037089,-687.1246338,687.1246338
60,2.9606973,-397.9385376,397.9385376
61,3.394767546,-581.3283691,581.3283691
62,2.84863326,-332.7548523,332.7548523
63,2.731218458,-272.4880066,272.4880066
64,3.037543014,-439.324646,439.324646
65,2.636592836,-218.7425385,218.7425385
66,3.856083951,-756.3607178,756.3607178
67,3.394767546,-581.3283691,581.3283691
68,2.785000706,-302.3297729,302.3297729
69,2.701943796,-247.7008667,247.7008667
70,3.656006018,-710.9257813,710.9257813
71,2.9606973,-397.9385376,397.9385376
72,2.915982113,-383.233551,383.233551
73,3.597037089,-687.1246338,687.1246338
74,2.922212769,-385.0452576,385.0452576
75,3.571014055,-675.7629395,675.7629395
76,3.329117462,-548.7907715,548.7907715
77,3.553545097,-652.52771,652.52771
78,2.922212769,-385.0452576,385.0452576
79,3.182442531,-493.2375183,493.2375183
80,2.71357444,-267.6794128,267.6794128
81,3.329117462,-548.7907715,548.7907715
82,2.935224286,-389.6160583,389.6160583
83,3.329117462,-548.7907715,548.7907715
84,2.890509099,-353.5916748,353.5916748
85,2.796829358,-305.9793396,305.9793396
86,2.707759075,-266.212677,266.212677
87,2.702141717,-248.0499268,248.0499268
88,2.935224286,-389.6160583,389.6160583
89,2.868628442,-346.989502,346.989502
90,3.037543014,-439.324646,439.324646
91,3.024531497,-434.2544556,434.2544556
92,3.329117462,-548.7907715,548.7907715
93,2.922212769,-385.0452576,385.0452576
94,2.701943796,-247.7008667,247.7008667
95,2.785000706,-302.3297729,302.3297729
96,2.690313065,-245.0648041,245.0648041
97,2.702141717,-248.0499268,248.0499268
98,3.649082964,-708.8427734,708.8427734
99,2.624131338,-216.8837433,216.8837433
100,2.766941398,-297.2391968,297.2391968
101,3.311058331,-541.9768066,541.9768066
102,3.597037089,-687.1246338,687.1246338
103,3.662929072,-712.9984131,712.9984131
104,3.932927664,-783.3721924,783.3721924
105,3.024531497,-434.2544556,434.2544556
106,3.031454551,-436.2385254,436.2385254
107,3.571014055,-675.7629395,675.7629395
108,2.947685783,-393.2844849,393.2844849
109,2.997673975,-425.4329834,425.4329834
110,2.984662458,-420.64151,420.64151
111,3.329117462,-548.7907715,548.7907715
112,2.922212769,-385.0452576,385.0452576
113,3.649082964,-708.8427734,708.8427734
114,3.649082964,-708.8427734,708.8427734
115,3.077411963,-454.1870422,454.1870422
116,2.702141717,-248.0499268,248.0499268
117,2.84863326,-332.7548523,332.7548523
118,3.453910594,-622.6905518,622.6905518
119,2.713772448,-268.0761414,268.0761414
120,2.785000706,-302.3297729,302.3297729
121,2.796829358,-305.9793396,305.9793396
122,2.672788038,-243.2398529,243.2398529
123,2.836804608,-328.4492798,328.4492798
124,3.322253961,-547.4411011,547.4411011
125,2.702141717,-248.0499268,248.0499268
126,2.903520616,-357.9526367,357.9526367
127,2.935224286,-389.6160583,389.6160583
128,3.247918477,-507.2046204,507.2046204
129,3.160560695,-482.127533,482.127533
130,3.037543014,-439.324646,439.324646
131,2.791231454,-303.796875,303.796875
132,3.329117462,-548.7907715,548.7907715
133,3.642160013,-706.7216187,706.7216187
134,2.785000706,-302.3297729,302.3297729
135,2.796829358,-305.9793396,305.9793396
136,2.666823443,-233.7924957,233.7924957
137,3.174755078,-487.1925049,487.1925049
138,3.577937109,-678.1131592,678.1131592
139,2.997673975,-425.4329834,425.4329834
140,3.856083951,-756.3607178,756.3607178
141,2.909751364,-381.4268799,381.4268799
142,3.329117462,-548.7907715,548.7907715
143,3.430253326,-598.4420776,598.4420776
144,3.610048607,-692.7156982,692.7156982
145,3.649082964,-708.8427734,708.8427734
146,3.584025572,-681.4656372,681.4656372
147,3.421312919,-597.114624,597.114624
148,2.916532133,-384.1661377,384.1661377
149,3.024531497,-434.2544556,434.2544556
150,2.935224286,-389.6160583,389.6160583
151,3.024531497,-434.2544556,434.2544556
152,2.785000706,-302.3297729,302.3297729
153,3.610048607,-692.7156982,692.7156982
154,2.935224286,-389.6160583,389.6160583
155,3.139791636,-476.2381592,476.2381592
156,2.922212769,-385.0452576,385.0452576
157,3.932927664,-783.3721924,783.3721924
158,3.024531497,-434.2544556,434.2544556
159,2.702141717,-248.0499268,248.0499268
160,3.553545097,-652.52771,652.52771
161,3.317288987,-543.1207275,543.1207275
162,2.84863326,-332.7548523,332.7548523
163,3.919916146,-760.9650269,760.9650269
164,3.597037089,-687.1246338,687.1246338
165,2.772539301,-299.4022827,299.4022827
166,3.453910594,-622.6905518,622.6905518
167,3.024531497,-434.2544556,434.2544556
168,2.836804608,-328.4492798,328.4492798
169,2.997673975,-425.4329834,425.4329834
170,3.024531497,-434.2544556,434.2544556
171,3.037543014,-439.324646,439.324646
172,3.037543014,-439.324646,439.324646
173,2.803278793,-312.2977295,312.2977295
174,3.329117462,-548.7907715,548.7907715
175,2.841710206,-331.0363159,331.0363159
176,3.247918477,-507.2046204,507.2046204
177,2.984662458,-420.64151,420.64151
178,3.430253326,-598.4420776,598.4420776
179,2.84863326,-332.7548523,332.7548523
180,2.935224286,-389.6160583,389.6160583
181,2.702141717,-248.0499268,248.0499268
182,2.796829358,-305.9793396,305.9793396
183,3.271749742,-539.4199829,539.4199829
184,3.813501015,-741.2821655,741.2821655
185,2.961247126,-398.9570007,398.9570007
186,2.785000706,-302.3297729,302.3297729
187,2.841710206,-331.0363159,331.0363159
188,3.430253326,-598.4420776,598.4420776
189,3.037543014,-439.324646,439.324646
190,2.890509099,-353.5916748,353.5916748
191,3.278672796,-541.8209229,541.8209229
192,2.690313065,-245.0648041,245.0648041
193,2.948235803,-394.2416382,394.2416382
194,2.841710206,-331.0363159,331.0363159
195,2.785000706,-302.3297729,302.3297729
196,3.024531497,-434.2544556,434.2544556
197,2.766941398,-297.2391968,297.2391968
198,3.329117462,-548.7907715,548.7907715
199,3.077411963,-454.1870422,454.1870422
200,3.031454551,-436.2385254,436.2385254
201,3.024531497,-434.2544556,434.2544556
202,3.087815674,-468.6850586,468.6850586
203,2.796829358,-305.9793396,305.9793396
204,3.031454551,-436.2385254,436.2385254
205,3.004597029,-427.3717957,427.3717957
206,3.649082964,-708.8427734,708.8427734
207,2.997673975,-425.4329834,425.4329834
208,2.997673975,-425.4329834,425.4329834
209,2.948235803,-394.2416382,394.2416382
210,2.977739404,-418.7341919,418.7341919
211,3.362830168,-580.7921143,580.7921143
212,3.329117462,-548.7907715,548.7907715
213,2.731416379,-272.8845215,272.8845215
214,3.571014055,-675.7629395,675.7629395
215,2.909201252,-380.4984131,380.4984131
216,2.785000706,-302.3297729,302.3297729
217,3.43717638,-600.7450562,600.7450562
218,3.394767546,-581.3283691,581.3283691
219,3.590114139,-684.8059692,684.8059692
220,3.024531497,-434.2544556,434.2544556
221,3.329117462,-548.7907715,548.7907715
222,3.597037089,-687.1246338,687.1246338
223,2.997673975,-425.4329834,425.4329834
224,2.796829358,-305.9793396,305.9793396
225,3.037543014,-439.324646,439.324646
226,2.701943796,-247.7008667,247.7008667
227,3.160212421,-477.026825,477.026825
228,3.629982984,-700.4586182,700.4586182
229,3.362830168,-580.7921143,580.7921143
230,3.649082964,-708.8427734,708.8427734
231,2.997673975,-425.4329834,425.4329834
232,3.329117462,-548.7907715,548.7907715
233,3.697544342,-723.1779785,723.1779785
234,2.796829358,-305.9793396,305.9793396
235,2.701943796,-247.7008667,247.7008667
236,2.77877005,-300.8678589,300.8678589
237,2.785000706,-302.3297729,302.3297729
238,2.785000706,-302.3297729,302.3297729
239,2.713772448,-268.0761414,268.0761414
240,3.174755078,-487.1925049,487.1925049
241,2.84863326,-332.7548523,332.7548523
242,3.533752719,-644.7637939,644.7637939
243,3.024531497,-434.2544556,434.2544556
244,2.785000706,-302.3297729,302.3297729
245,3.597037089,-687.1246338,687.1246338
246,3.329117462,-548.7907715,548.7907715
247,2.84863326,-332.7548523,332.7548523
248,3.656006018,-710.9257813,710.9257813
249,2.947685783,-393.2844849,393.2844849
250,2.851182433,-341.6453857,341.6453857
251,2.92899363,-387.7960815,387.7960815
252,2.820486485,-313.3861694,313.3861694
253,2.84863326,-332.7548523,332.7548523
254,2.84863326,-332.7548523,332.7548523
255,2.922212769,-385.0452576,385.0452576
256,3.329117462,-548.7907715,548.7907715
257,3.430253326,-598.4420776,598.4420776
258,3.329117462,-548.7907715,548.7907715
259,2.947685783,-393.2844849,393.2844849
260,3.649082964,-708.8427734,708.8427734
261,3.610048607,-692.7156982,692.7156982
