,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,2.0,2.0,4.0,3.0,3.0,2.0,3.0,2.0,2.0,1.0,3.0,4.0,3.0,1.0,2.0,0.0,3.0,1.0,4.0,3.0,2.0,2.0,3.0,1.0,4.0,2.0,1.0,4.0,146.0,125.0,16.0,30.0
1,1.0,2.0,3.0,3.0,3.0,4.0,1.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,3.0,4.0,1.0,2.0,3.0,4.0,0.0,0.0,0.0,125.0,125.0,16.0,16.0
2,1.0,2.0,3.0,3.0,3.0,4.0,1.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,3.0,4.0,1.0,2.0,3.0,4.0,0.0,0.0,0.0,125.0,125.0,16.0,16.0
3,3.0,2.0,3.0,3.0,3.0,1.0,4.0,4.0,2.0,2.0,2.0,1.0,3.0,0.0,0.0,0.0,3.0,2.0,4.0,3.0,1.0,1.0,4.0,2.0,4.0,2.0,1.0,0.0,142.0,156.0,16.0,30.0
4,2.0,2.0,4.0,2.0,3.0,1.0,4.0,2.0,2.0,1.0,3.0,1.0,3.0,4.0,2.0,0.0,3.0,2.0,4.0,2.0,2.0,1.0,3.0,1.0,4.0,2.0,1.0,4.0,142.0,160.0,16.0,30.0
5,3.0,2.0,3.0,2.0,3.0,3.0,1.0,2.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,2.0,1.0,1.0,3.0,3.0,4.0,2.0,1.0,4.0,173.0,159.0,16.0,30.0
6,1.0,2.0,3.0,3.0,3.0,4.0,1.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,3.0,4.0,1.0,2.0,3.0,4.0,0.0,0.0,0.0,125.0,125.0,16.0,16.0
7,3.0,2.0,3.0,2.0,3.0,1.0,3.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,3.0,4.0,1.0,4.0,2.0,4.0,1.0,0.0,0.0,141.0,125.0,16.0,30.0
8,3.0,2.0,3.0,3.0,3.0,1.0,4.0,4.0,2.0,2.0,2.0,1.0,3.0,0.0,0.0,0.0,3.0,2.0,4.0,3.0,1.0,1.0,4.0,2.0,4.0,2.0,1.0,0.0,142.0,156.0,16.0,30.0
9,1.0,2.0,3.0,3.0,3.0,4.0,1.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,3.0,4.0,1.0,2.0,3.0,4.0,0.0,0.0,0.0,125.0,125.0,16.0,16.0
