,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,3.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,146.0,136.0,30.0,19.0
1,3.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,2.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,144.0,133.0,16.0,29.0
2,2.0,1.0,3.0,1.0,2.0,3.0,2.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,3.0,3.0,2.0,2.0,3.0,1.0,1.0,0.0,144.0,133.0,7.0,24.0
3,2.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,3.0,0.0,0.0,0.0,149.0,134.0,16.0,33.0
4,2.0,1.0,3.0,2.0,2.0,1.0,3.0,3.0,1.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,3.0,2.0,0.0,132.0,146.0,16.0,34.0
5,3.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,3.0,1.0,3.0,3.0,2.0,1.0,1.0,0.0,0.0,128.0,133.0,2.0,1.0
6,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,1.0,1.0,3.0,1.0,3.0,0.0,3.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,3.0,3.0,1.0,0.0,142.0,139.0,30.0,20.0
7,3.0,2.0,1.0,2.0,3.0,3.0,1.0,3.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,172.0,170.0,30.0,16.0
8,2.0,3.0,1.0,1.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,3.0,3.0,1.0,3.0,1.0,2.0,0.0,0.0,164.0,146.0,16.0,9.0
9,3.0,3.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,3.0,2.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,128.0,154.0,17.0,17.0
10,2.0,1.0,3.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,133.0,151.0,16.0,2.0
11,2.0,3.0,2.0,2.0,2.0,1.0,3.0,3.0,2.0,1.0,1.0,3.0,1.0,3.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,0.0,0.0,133.0,142.0,5.0,16.0
12,1.0,2.0,3.0,3.0,1.0,1.0,3.0,2.0,3.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,168.0,174.0,30.0,19.0
13,1.0,3.0,1.0,1.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,148.0,126.0,2.0,32.0
14,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,171.0,135.0,2.0,2.0
15,2.0,1.0,3.0,2.0,1.0,3.0,3.0,2.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,3.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,168.0,146.0,29.0,30.0
16,2.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,3.0,3.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,171.0,127.0,11.0,22.0
17,3.0,2.0,3.0,3.0,3.0,3.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,2.0,3.0,2.0,3.0,2.0,1.0,3.0,3.0,1.0,3.0,1.0,0.0,136.0,130.0,31.0,30.0
