,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,4.0,3.0,3.0,2.0,3.0,1.0,4.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,3.0,2.0,1.0,3.0,4.0,1.0,2.0,1.0,4.0,0.0,127.0,125.0,16.0,30.0
1,2.0,1.0,2.0,4.0,3.0,2.0,1.0,4.0,3.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,4.0,4.0,2.0,1.0,3.0,2.0,4.0,1.0,0.0,132.0,160.0,16.0,30.0
2,1.0,3.0,2.0,2.0,2.0,4.0,4.0,4.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,4.0,2.0,1.0,4.0,2.0,4.0,1.0,0.0,132.0,163.0,16.0,30.0
3,2.0,3.0,1.0,2.0,2.0,2.0,4.0,4.0,3.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,4.0,4.0,1.0,1.0,4.0,1.0,1.0,0.0,0.0,133.0,170.0,16.0,30.0
4,3.0,3.0,2.0,4.0,3.0,2.0,1.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,4.0,3.0,1.0,4.0,4.0,1.0,1.0,0.0,0.0,132.0,129.0,16.0,30.0
5,2.0,3.0,1.0,2.0,2.0,2.0,4.0,4.0,3.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,4.0,4.0,1.0,1.0,4.0,1.0,1.0,0.0,0.0,133.0,170.0,16.0,30.0
6,2.0,3.0,2.0,2.0,3.0,4.0,1.0,4.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,4.0,4.0,2.0,1.0,4.0,1.0,1.0,0.0,0.0,131.0,125.0,16.0,30.0
7,2.0,3.0,1.0,2.0,2.0,2.0,4.0,4.0,3.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,4.0,4.0,1.0,1.0,4.0,1.0,1.0,0.0,0.0,132.0,170.0,16.0,30.0
8,3.0,3.0,2.0,2.0,3.0,1.0,1.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,4.0,1.0,2.0,4.0,4.0,3.0,1.0,0.0,0.0,133.0,125.0,16.0,16.0
9,3.0,1.0,2.0,4.0,3.0,2.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,4.0,4.0,3.0,2.0,1.0,4.0,1.0,1.0,0.0,0.0,132.0,125.0,16.0,30.0
10,2.0,3.0,2.0,2.0,3.0,3.0,1.0,4.0,3.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,3.0,1.0,3.0,2.0,4.0,4.0,2.0,1.0,1.0,0.0,132.0,125.0,16.0,30.0
11,3.0,3.0,2.0,2.0,3.0,1.0,1.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,4.0,1.0,2.0,4.0,4.0,3.0,1.0,0.0,0.0,133.0,125.0,16.0,30.0
12,2.0,3.0,2.0,2.0,3.0,3.0,1.0,4.0,3.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,3.0,1.0,3.0,2.0,4.0,4.0,2.0,1.0,1.0,0.0,132.0,168.0,16.0,30.0
13,3.0,1.0,2.0,4.0,3.0,2.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,4.0,4.0,3.0,2.0,1.0,4.0,1.0,1.0,0.0,0.0,133.0,125.0,16.0,30.0
14,2.0,3.0,2.0,4.0,3.0,1.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,4.0,1.0,4.0,4.0,1.0,1.0,0.0,0.0,132.0,126.0,16.0,30.0
15,2.0,3.0,1.0,2.0,2.0,3.0,1.0,4.0,2.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,4.0,4.0,2.0,1.0,4.0,3.0,1.0,1.0,0.0,132.0,171.0,16.0,30.0
16,2.0,3.0,1.0,2.0,2.0,3.0,2.0,4.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,4.0,4.0,2.0,1.0,4.0,3.0,1.0,1.0,0.0,132.0,169.0,16.0,30.0
17,2.0,3.0,1.0,2.0,3.0,2.0,4.0,4.0,3.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,4.0,4.0,1.0,1.0,4.0,1.0,1.0,0.0,0.0,132.0,165.0,16.0,30.0
18,2.0,3.0,1.0,2.0,2.0,2.0,4.0,4.0,3.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,4.0,4.0,1.0,1.0,4.0,1.0,1.0,0.0,0.0,133.0,170.0,16.0,30.0
19,2.0,3.0,1.0,2.0,3.0,4.0,1.0,4.0,2.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,4.0,4.0,1.0,1.0,4.0,2.0,3.0,1.0,0.0,125.0,165.0,16.0,30.0
