,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,2.0,1.0,1.0,3.0,4.0,2.0,2.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,3.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,126.0,128.0,16.0,27.0
1,3.0,4.0,4.0,2.0,1.0,3.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,4.0,4.0,2.0,1.0,1.0,3.0,1.0,0.0,0.0,170.0,174.0,30.0,30.0
2,2.0,1.0,1.0,3.0,4.0,2.0,2.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,3.0,3.0,4.0,2.0,1.0,1.0,0.0,0.0,130.0,136.0,16.0,30.0
3,2.0,1.0,1.0,3.0,4.0,2.0,2.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,3.0,3.0,4.0,2.0,1.0,1.0,0.0,0.0,125.0,129.0,16.0,30.0
4,2.0,2.0,2.0,2.0,1.0,3.0,4.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,4.0,4.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,159.0,158.0,16.0,30.0
5,2.0,2.0,2.0,2.0,1.0,3.0,4.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,4.0,4.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,159.0,157.0,16.0,30.0
6,2.0,2.0,2.0,2.0,1.0,3.0,4.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,4.0,4.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,157.0,156.0,16.0,30.0
7,2.0,2.0,2.0,2.0,1.0,3.0,4.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,4.0,4.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,166.0,157.0,16.0,30.0
8,2.0,1.0,1.0,3.0,4.0,2.0,2.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,3.0,3.0,4.0,2.0,1.0,1.0,0.0,0.0,125.0,125.0,16.0,29.0
9,2.0,4.0,3.0,1.0,3.0,4.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,3.0,4.0,4.0,4.0,2.0,1.0,0.0,0.0,172.0,128.0,16.0,16.0
10,2.0,4.0,3.0,1.0,3.0,4.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,3.0,4.0,4.0,4.0,2.0,1.0,0.0,0.0,167.0,126.0,16.0,16.0
11,2.0,1.0,1.0,3.0,4.0,2.0,2.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,3.0,3.0,4.0,2.0,1.0,1.0,0.0,0.0,130.0,134.0,16.0,30.0
12,2.0,2.0,2.0,2.0,1.0,3.0,4.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,4.0,4.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,165.0,156.0,16.0,30.0
13,3.0,3.0,1.0,2.0,2.0,2.0,4.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,1.0,3.0,3.0,1.0,3.0,4.0,0.0,0.0,149.0,136.0,16.0,30.0
14,2.0,4.0,3.0,1.0,3.0,4.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,3.0,4.0,4.0,4.0,2.0,1.0,0.0,0.0,171.0,126.0,16.0,16.0
15,2.0,4.0,3.0,1.0,3.0,4.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,3.0,4.0,4.0,4.0,2.0,1.0,0.0,0.0,170.0,126.0,16.0,16.0
16,2.0,2.0,2.0,2.0,1.0,3.0,4.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,4.0,4.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,160.0,153.0,16.0,30.0
17,2.0,2.0,2.0,2.0,1.0,3.0,4.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,4.0,4.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,161.0,153.0,16.0,30.0
18,2.0,2.0,2.0,2.0,1.0,3.0,4.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,4.0,4.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,163.0,153.0,16.0,30.0
19,2.0,1.0,1.0,3.0,4.0,2.0,2.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,3.0,3.0,4.0,2.0,1.0,1.0,0.0,0.0,129.0,131.0,16.0,30.0
20,2.0,2.0,2.0,2.0,1.0,3.0,4.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,4.0,4.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,165.0,155.0,16.0,30.0
21,2.0,2.0,2.0,2.0,1.0,3.0,4.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,4.0,4.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,162.0,154.0,16.0,30.0
22,2.0,2.0,2.0,2.0,1.0,3.0,4.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,4.0,4.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,164.0,156.0,16.0,30.0
23,2.0,1.0,1.0,3.0,4.0,2.0,2.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,3.0,3.0,4.0,2.0,1.0,1.0,0.0,0.0,127.0,132.0,16.0,30.0
24,2.0,1.0,1.0,3.0,4.0,2.0,2.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,3.0,3.0,4.0,2.0,1.0,1.0,0.0,0.0,127.0,128.0,16.0,30.0
25,2.0,1.0,1.0,3.0,4.0,2.0,2.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,3.0,3.0,4.0,2.0,1.0,1.0,0.0,0.0,127.0,129.0,16.0,30.0
