,number,value,datetime_start,datetime_complete,duration,params_lr,params_model_dim,params_otherfeatures_hidden_size,params_skin_hidden_size,params_stringer_hidden_size,params_weight_decay,state,,number,value,,9,1857.15186,,7,861.4396769,,9,4015.743273
5,5,576.6674601,27:14.5,46:56.1,0 days 02:19:41.512572,0.000949141,4096,4096,2048,1024,1.10E-06,COMPLETE,,1,1816.228706,,5,1438.43567,,8,810.2313,,5,3545.580811
19,14,609.0994195,26:19.6,01:19.8,0 days 03:35:00.202817,0.000934077,4096,4096,1024,2048,2.87E-06,COMPLETE,,2,2467.813666,,15,821.64012,,14,875.6640082,,15,3350.274685
14,10,733.7383219,07:21.7,49:47.6,0 days 03:42:25.939371,0.000308881,4096,4096,1024,2048,3.28E-06,COMPLETE,,3,2681.523356,,4,624.16599,,20,841.5978868,,4,3263.628174
22,15,841.5978868,14:33.8,34:30.1,0 days 06:19:56.293210,0.000728782,4096,4096,2048,2048,2.06E-05,COMPLETE,,4,3263.628174,,24,576.13013,,22,932.024665,,24,3053.120768
32,19,861.4396769,23:23.3,15:21.1,0 days 02:51:57.783298,0.0002021,4096,2048,1024,2048,1.93E-06,COMPLETE,,5,3545.580811,,12,533.87014,,23,801.2511,,12,2692.223334
57,41,872.1964518,20:14.1,05:31.0,0 days 01:45:16.962888,0.001391899,2048,4096,2048,2048,5.67E-06,COMPLETE,,6,1998.000298,,13,533.87014,,25,780.5912,,13,2688.21224
44,30,875.6640082,55:59.3,44:14.4,0 days 01:48:15.109004,0.001045458,2048,4096,2048,1024,1.40E-06,COMPLETE,,7,861.4396769,,3,509.58467,,29,872.1964518,,3,2681.523356
3,3,893.658827,21:34.3,41:49.8,0 days 02:20:15.556512,0.000184593,4096,4096,1024,2048,1.41E-06,COMPLETE,,8,810.2313,,10,507.72089,,32,576.6674601,,10,2625.668864
52,37,932.024665,42:32.2,07:40.9,0 days 01:25:08.635873,0.000695013,4096,2048,1024,1024,1.58E-06,COMPLETE,,9,4015.743273,,17,401.473,,33,609.0994195,,17,2620.03616
16,12,1025.609165,08:07.0,08:50.5,0 days 01:00:43.517073,0.001381354,4096,4096,1024,1024,3.76E-06,COMPLETE,,10,2625.668864,,21,394.91312,,39,733.7383219,,21,2618.00689
31,18,1034.678996,45393.97805,45394.01624,0 days 00:54:59.904703,0.000511384,4096,4096,1024,1024,3.59043E-06,COMPLETE,,11,1765.395996,,28,391.83106,,46,893.658827,,28,2522.156128
38,25,1042.203803,37:51.4,48:19.9,0 days 03:10:28.485367,0.00111332,4096,4096,2048,2048,1.57E-05,COMPLETE,,12,2692.223334,,2,383.81388,,50,834.6789958,,2,2467.813666
51,36,1058.083605,03:54.2,42:32.0,0 days 01:38:37.870880,0.000103797,4096,2048,1024,2048,2.37E-06,COMPLETE,,13,2688.21224,,19,353.95298,,,,,19,2312.45
4,4,1100.394436,41:50.0,27:14.3,0 days 01:45:24.353458,0.002201374,2048,2048,2048,2048,2.22E-06,COMPLETE,,14,875.6640082,,18,342.67451,,,,,18,2132.53
41,28,1110.945516,23:30.7,18:12.8,0 days 07:54:42.121299,0.000416843,2048,4096,2048,1024,3.18E-06,COMPLETE,,15,3350.274685,,30,325.48724,,,,,30,2012.4112
35,22,1747.154826,26:37.9,00:33.7,0 days 01:33:55.766566,0.00159677,4096,4096,1024,2048,1.28E-06,COMPLETE,,16,1100.394436,,6,318.91369,,,,,6,1998.000298
